agents,map_file,solver,solved,soc,makespan,comp_time,Opti_Deadline,Scenario_File
260,random-32-32-20.map,PIBTOLD,0,1013296,100000,6437,0,random-32-32-20-random-24.scen
260,random-32-32-20.map,PIBT,0,213018,100000,15502,1,random-32-32-20-random-24.scen
260,random-32-32-20.map,PIBTOLD,0,1013296,100000,6590,1,random-32-32-20-random-24.scen
260,random-32-32-20.map,PIBT,0,13628,100000,22731,10,random-32-32-20-random-24.scen
260,random-32-32-20.map,PIBTOLD,0,1013296,100000,6528,10,random-32-32-20-random-24.scen
260,random-32-32-20.map,PIBT,0,13664,100000,20022,100,random-32-32-20-random-24.scen
260,random-32-32-20.map,PIBTOLD,0,1013296,100000,6766,100,random-32-32-20-random-24.scen
20,random-32-32-20.map,PIBT,1,577,42,0,0,random-32-32-20-random-4.scen
20,random-32-32-20.map,PIBTOLD,1,577,42,0,0,random-32-32-20-random-4.scen
20,random-32-32-20.map,PIBT,1,566,42,1,1,random-32-32-20-random-4.scen
20,random-32-32-20.map,PIBTOLD,1,577,42,0,1,random-32-32-20-random-4.scen
20,random-32-32-20.map,PIBT,1,566,42,0,10,random-32-32-20-random-4.scen
20,random-32-32-20.map,PIBTOLD,1,577,42,0,10,random-32-32-20-random-4.scen
20,random-32-32-20.map,PIBT,1,566,42,0,100,random-32-32-20-random-4.scen
20,random-32-32-20.map,PIBTOLD,1,577,42,1,100,random-32-32-20-random-4.scen
20,random-32-32-20.map,PIBT,1,566,42,0,1000,random-32-32-20-random-4.scen
20,random-32-32-20.map,PIBTOLD,1,577,42,0,1000,random-32-32-20-random-4.scen
60,random-32-32-20.map,PIBT,1,1711,48,2,0,random-32-32-20-random-4.scen
60,random-32-32-20.map,PIBTOLD,1,1711,48,1,0,random-32-32-20-random-4.scen
60,random-32-32-20.map,PIBT,1,1751,49,2,1,random-32-32-20-random-4.scen
60,random-32-32-20.map,PIBTOLD,1,1711,48,1,1,random-32-32-20-random-4.scen
60,random-32-32-20.map,PIBT,1,1751,49,2,10,random-32-32-20-random-4.scen
60,random-32-32-20.map,PIBTOLD,1,1711,48,2,10,random-32-32-20-random-4.scen
60,random-32-32-20.map,PIBT,1,1751,49,2,100,random-32-32-20-random-4.scen
60,random-32-32-20.map,PIBTOLD,1,1711,48,1,100,random-32-32-20-random-4.scen
60,random-32-32-20.map,PIBT,1,1751,49,3,1000,random-32-32-20-random-4.scen
60,random-32-32-20.map,PIBTOLD,1,1711,48,1,1000,random-32-32-20-random-4.scen
